Gender,Age,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,STOPD11,STOPD21,STOPD31,STOPD41,STOPD51,Vitality1,Vitality2,Vitality3,Vitality,Health,NSNFAF,NSNFAS,NSNFSF,NSNFSS,NSNFCF,NSNFCS
Man,37,51,52,58,56,58,63,65,64,67,66,65,68,70,65,60,65,63,65,65,64,60,61,69,51,56,57,54.67,3,3,3,3,3,3,3
Woman,22,15,56,17,33,7,10,30,82,13,14,94,32,36,70,4,13,77,37,84,14,31,14,56,33,19,48,33.33,2,3,3,2,4,3,4
Man,52,44,66,62,38,77,81,30,46,26,83,42,66,71,30,80,40,21,49,57,37,40,66,53,51,81,53,61.67,3,1,2,2,4,3,4
Man,54,66,81,62,62,67,73,63,69,58,100,65,67,62,67,68,62,65,64,90,75,77,77,72,29,39,37,35.00,2,4,3,3,4,3,3
Man,22,50,3,39,39,100,0,9,72,53,31,34,89,68,62,38,97,19,45,31,51,27,9,82,11,29,7,15.67,2,4,5,3,2,3,3
Man,44,50,61,60,56,47,59,45,45,57,82,70,50,33,73,73,25,50,51,74,73,73,12,60,16,18,40,24.67,1,2,3,3,2,4,2
Man,67,58,58,30,89,35,86,23,73,20,90,21,35,48,66,47,87,44,79,54,19,34,45,32,85,34,40,53.00,2,2,3,3,5,5,5
Man,50,12,31,21,20,12,15,18,21,85,20,29,16,23,25,19,31,32,26,23,20,39,18,19,19,13,49,27.00,2,3,3,3,3,3,3
Woman,30,63,87,100,46,68,79,100,58,77,59,90,66,24,70,50,60,67,41,100,80,70,72,100,30,19,42,30.33,1,3,3,4,4,5,3
Man,35,68,81,56,52,45,61,68,54,19,62,66,58,56,65,79,27,67,55,21,61,54,43,53,39,50,54,47.67,4,5,3,4,4,1,3
Woman,43,81,26,100,100,100,100,100,100,100,100,100,99,72,91,77,100,66,68,71,66,79,80,64,89,83,81,84.33,3,4,3,4,4,2,2
Man,32,50,49,60,61,100,61,100,60,40,50,50,99,40,41,10,50,20,3,100,100,100,100,9,51,21,22,31.33,1,3,3,3,3,5,1
Woman,30,96,59,91,48,45,100,76,51,86,23,53,71,34,82,51,69,32,83,69,29,78,75,49,66,82,66,71.33,2,3,2,4,2,4,2
Woman,28,39,93,83,13,54,92,26,63,3,62,37,42,85,47,90,91,9,10,45,89,100,40,92,21,28,52,33.67,2,3,3,1,5,4,1
Man,46,69,14,52,83,22,85,50,62,35,77,71,68,34,81,36,89,46,NA,51,50,43,43,48,49,62,92,67.67,2,3,2,3,2,3,2
Woman,56,77,21,67,32,39,93,23,78,21,59,83,29,87,52,71,81,62,42,19,27,50,15,20,69,73,74,72.00,3,3,5,3,4,2,4
Woman,26,69,75,77,88,74,80,77,79,54,78,87,68,75,82,72,81,88,75,62,60,76,41,34,55,61,60,58.67,3,2,3,2,2,3,5
Woman,48,73,19,86,79,72,32,25,70,22,76,25,70,50,67,79,65,26,18,96,93,70,93,32,17,55,26,32.67,1,1,4,2,5,2,2
Man,NA,65,52,54,75,82,47,63,56,51,74,59,48,63,44,39,50,41,50,53,57,53,54,62,47,43,45,45.00,3,2,2,3,2,3,2
Woman,29,60,0,50,70,40,100,100,50,0,70,50,80,40,100,50,50,0,30,60,50,80,40,0,80,50,30,53.33,3,2,1,1,5,5,3
Man,27,91,70,70,93,86,62,79,90,72,75,79,88,72,65,76,86,48,66,62,77,58,88,70,74,46,54,58.00,3,3,5,3,4,3,4
Woman,38,58,NA,43,82,42,26,85,36,71,53,68,60,54,63,49,56,29,39,86,76,100,51,37,37,46,43,42.00,1,4,3,4,5,4,3
Man,56,70,NA,29,30,41,10,41,31,40,62,61,NA,62,20,60,31,NA,53,60,10,42,39,72,62,62,40,54.67,2,3,2,3,2,3,3
Woman,25,44,64,54,61,83,29,63,29,58,27,21,22,22,40,18,36,18,32,89,73,68,18,73,33,26,29,29.33,2,1,1,2,1,3,2
Woman,59,60,3,66,45,72,44,58,60,53,51,52,61,56,50,52,57,58,49,48,58,42,57,52,48,49,46,47.67,1,1,3,5,2,5,4
Woman,53,52,0,50,50,38,39,78,40,100,54,49,100,52,13,11,50,100,100,100,100,100,11,100,2,2,3,2.33,2,3,3,5,1,3,3
Man,40,80,0,80,50,0,100,0,100,10,90,90,0,80,50,90,70,0,20,20,1,10,0,0,80,90,80,83.33,3,1,4,1,5,1,4
Woman,26,48,26,60,20,69,58,50,71,32,40,69,24,63,53,47,45,6,19,22,25,63,22,49,38,26,54,39.33,2,3,4,3,3,3,3
Woman,48,71,0,52,26,2,76,7,24,0,70,62,0,13,0,71,50,60,0,0,0,NA,NA,NA,42,0,44,28.67,3,1,2,1,4,2,3
Man,40,95,24,36,36,81,60,64,61,63,69,46,44,51,41,41,56,72,39,49,41,60,64,64,42,63,57,54.00,4,3,3,3,3,4,3
Man,31,51,0,68,20,39,70,21,63,63,72,62,16,64,16,58,73,12,55,5,23,48,0,42,51,57,73,60.33,3,2,1,2,5,2,4
Man,18,77,48,56,71,27,95,41,54,43,52,83,69,54,60,30,73,32,81,48,52,80,100,88,61,90,100,83.67,3,2,3,1,5,3,4
Woman,59,100,NA,100,100,NA,100,NA,100,NA,100,100,NA,NA,NA,NA,100,NA,NA,0,0,0,0,0,100,100,100,100.00,5,2,2,1,4,1,4
Woman,34,65,95,76,43,45,74,85,58,88,50,39,69,42,71,77,73,18,30,34,23,61,26,71,60,58,47,55.00,3,2,4,3,3,3,3
Woman,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,81,81,89,83.67,3,1,4,1,3,1,1
