Predictor,SAD,ANXIOUS,STRESSED,ANGRY,NOSUPP,VITAL,HEALTH
Motivation+,10,9,13,9,13,10,4
Health+,14,11,,15,15,3,5
Attention+,13,14,11,11,10,4,6
Social+,12,12,10,13,14,9,12
Affect+,15,15,,14,12,7,13
Challenge+,18,16,14,16,,2,11
Cognition+,7,8,9,12,11,1,3
Motivation-,6,7,7,8,9,16,15
Health-,9,10,12,7,8,11,9
Attention-,3,3,1,4,4,12,8
Social-,8,6,3,1,3,,
Affect-,1,2,2,2,1,6,1
Challenge-,11,13,8,10,7,14,16
Cognition-,4,5,5,6,5,15,7
Variation-,2,4,4,3,2,8,2
Variation+,16,18,,,,13,14
Retention-,5,1,6,5,6,5,10
Retention+,17,17,,,,17,17
