Predictor,SAD,ANXIOUS,STRESSED,ANGRY,NOSUPP,VITAL,HEALTH
Motivation+,12,14,18,11,15,5,15
Health+,11,9,13,10,9,2,3
Attention+,14,16,17,9,17,12,17
Social+,9,12,11,13,13,3,2
Affect+,18,15,12,15,16,18,13
Challenge+,8,8,9,14,11,1,11
Cognition+,13,11,10,12,18,5,16
Motivation-,6,7,6,8,7,17,12
Health-,7,6,7,7,8,13,1
Attention-,3,3,3,3,3,9,9
Social-,10,10,8,4,6,15,8
Affect-,1,1,1,1,2,7,7
Challenge-,15,17,15,18,10,11,18
Cognition-,4,4,4,5,4,10,6
Variation-,2,2,2,2,1,4,4
Variation+,17,18,14,16,12,16,10
Retention-,5,5,5,6,5,8,5
Retention+,16,13,16,17,14,14,14
