Predictor,SAD,ANXIOUS,STRESSED,ANGRY,NOSUPP,VITAL,HEALTH
Variation+,15,,,,,7,7
Retention+,17,,,,,5,15
Challenge+,9,14,,11,,2,10
Variation-,4,6,4,3,6,6,
Cognition+,10,10,,,11,3,1
Attention-,1,1,1,2,2,10,6
Social+,16,,,10,10,9,8
Motivation+,13,12,11,,13,4,4
Health-,8,7,7,8,4,15,11
Affect-,3,3,5,5,3,12,
Social-,11,11,8,7,9,14,
Affect+,12,13,9,,14,,13
Retention-,5,5,6,4,7,16,9
Challenge-,7,8,10,9,5,13,12
Health+,14,9,,,12,1,2
Cognition-,2,2,2,1,1,11,5
Attention+,,15,,,15,8,3
Motivation-,6,4,3,6,8,,
