Predictor,SAD,ANXIOUS,STRESSED,ANGRY,NOSUPP,VITAL,HEALTH
Variation+,,18,11,,,4,3
Retention+,15,12,14,,19,11,4
Challenge+,16,11,20,15,14,2,11
Variation-,3,3,2,2,1,13,2
Cognition+,14,17,12,13,12,3,8
Attention-,1,1,1,1,3,7,12
Social+,10,16,19,10,10,18,
Motivation+,11,,,14,15,10,
Health-,8,6,9,5,9,20,6
Affect-,2,2,4,3,2,16,15
Social-,9,8,6,4,4,19,
Affect+,18,15,13,,18,21,
Retention-,7,5,5,9,6,12,9
Challenge-,6,7,8,8,8,8,5
Health+,13,10,10,,17,1,1
Cognition-,4,4,3,6,5,9,10
Attention+,,13,15,12,13,6,16
Motivation-,5,9,7,7,7,14,13
